Game Name,Payout Amount,Display Name,Form Number,Manufacturer,Total Tickets,Deal Count,Total Deal Tickets,Total Payout,Ideal Profit,Ideal Percent,Card Type,URL,Active
Roulette,599,Roulette $599,6919M,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Roulette,700,Roulette $700,6268P,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Shake it Off,200,Shake it Off $200,,Arrow,300,1,300,200,100,33,Seal,,TRUE
Slots,175,Slots $175,6916M,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Slots,200,Slots $200,6779P,Arrow,300,1,300,200,100,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Slots,280,Slots $280,6917M,Arrow,400,1,400,280,120,30,Seal,,TRUE
Slots,400,Slots $400,6918M,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Slots,599,Slots $599,6919M,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Slots,700,Slots $700,6268P,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Smack Dab,270,Smack Dab $270,,Arrow,450,1,450,270,180,40,Seal,,TRUE
Small Ball,175,Small Ball $175,6916M,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Small Ball,200,Small Ball $200,6779P,Arrow,300,1,300,200,100,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Small Ball,280,Small Ball $280,6917M,Arrow,400,1,400,280,120,30,Seal,,TRUE
Small Ball,400,Small Ball $400,6918M,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Small Ball,599,Small Ball $599,6919M,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Small Ball,700,Small Ball $700,6268P,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Snap Crackle Pop,270,Snap Crackle Pop $270,,Arrow,450,1,450,270,180,40,Seal,,TRUE
Stones,599,Stones $599,7728H,Arrow,960,1,960,599,361,38,Seal,,TRUE
Tiger Dab,175,Tiger Dab $175,6219H,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Tiger Dab,280,Tiger Dab $280,6220H,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Tiger Dab,400,Tiger Dab $400,6221H,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Tiger Dab,700,Tiger Dab $700,6222H,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Triple Twist,110,Triple Twist $110,6080J,Arrow,150,1,150,110,40,27,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF,TRUE
Triple Twist,175,Triple Twist $175,6081J,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF,TRUE
Triple Twist,280,Triple Twist $280,6082J,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF,TRUE
Triple Twist,400,Triple Twist $400,6083J,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF,TRUE
Triple Twist,700,Triple Twist $700,6084J,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6080J.PDF,TRUE
